# CENSUS TRACT,PRIMARY,OTHER,ALL
# TOTAL,344804,501430,846234
022019583,1,0,1
022209675,3,1,4
022209676,16,10,26
022329566,0,1,1
022409558,1,0,1
022409559,2,1,3
022619861,2,1,3
022619862,1,1,2
022619863,6,0,6
022809777,5,0,5
022809780,5,0,5
022909604,1,0,1
040019704,5,4,9
040019705,7,2,9
040019773,2,0,2
040019774,24,8,32
040019776,15,3,18
040019777,0,3,3
040019778,10,3,13
040030002,8,2,10
040030003,10,4,14
040030004,1,1,2
040030005,1,0,1
040030007,5,2,7
040030008,3,0,3
040030009,4,5,9
040030011,9,1,10
040030012,1,1,2
040030014,2,3,5
040030015,1,1,2
040030016,20,19,39
040030017,6,4,10
040030018,11,15,26
040030019,7,5,12
040030020,2,2,4
040030021,3,6,9
040050001,7,13,20
040050002,31,68,99
040050003,3,5,8
040050004,4,4,8
040050005,0,2,2
040050006,5,10,15
040050007,1,1,2
040050008,0,1,1
040050009,0,3,3
040050010,7,3,10
040050011,3,4,7
040050012,7,14,21
040050013,7,6,13
040050014,3,6,9
040050015,4,2,6
040050016,8,14,22
040050017,3,3,6
040050018,1,4,5
040050020,1,0,1
040050022,10,7,17
040050024,29,13,42
040079801,5,3,8
040079803,5,11,16
040079804,2,4,6
040079805,10,14,24
040079806,0,1,1
040079808,0,1,1
040079809,8,1,9
040079810,0,4,4
040079811,6,7,13
040079812,5,0,5
040079813,1,0,1
040079950,9,1,10
040090002,1,0,1
040099910,2,0,2
040099911,1,0,1
040099912,12,1,13
040099913,4,4,8
040099914,1,0,1
040099915,0,1,1
040119902,5,2,7
040119903,1,0,1
040120201,1,0,1
040120202,3,0,3
040120203,5,3,8
040120204,3,5,8
040120205,2,0,2
040120206,1,1,2
040130101,11,38,49
040130303,265,270,535
040130304,16,31,47
040130405,87,118,205
040130506,1,2,3
040130507,1,0,1
040130608,1,1,2
040130610,47,30,77
040130611,2,5,7
040130612,0,2,2
040130613,2,0,2
040130614,1,0,1
040130715,98,127,225
040130716,1,1,2
040130717,3,2,5
040130718,5,13,18
040130719,5,3,8
040130820,11,11,22
040130821,1,1,2
040130923,15,25,40
040130924,5,2,7
040130925,5,1,6
040130926,0,1,1
040130927,2,0,2
040130929,5,5,10
040130930,2,0,2
040130931,1,0,1
040131032,112,159,271
040131033,16,21,37
040131034,11,10,21
040131035,6,9,15
040131036,73,86,159
